parkname,parkunit
Acadia National Park,acad
Arches National Park,arch
Badlands National Park,badl
Big Bend National Park,bibe
Biscayne National Park,bisc
Black Canyon of the Gunnison National Park,blca
Bryce Canyon National Park,brca
Canyonlands National Park,cany
Capitol Reef National Park,care
Carlsbad Caverns National Park,cave
Channel Islands National Park,chis
Congaree National Park,cong
Crater Lake National Park,crla
Cuyahoga Valley National Park,cuva
Death Valley National Park,deva
Denali National Park and Preserve,dena
Dry Tortugas National Park,drto
Everglades National Park,ever
Gates of the Arctic National Park and Preserve,gaar
Gateway Arch National Park,jeff
Glacier Bay National Park and Preserve,glba
Glacier National Park (U.S.),glac
Grand Canyon National Park,grca
Grand Teton National Park,grte
Great Basin National Park,grba
Great Sand Dunes National Park and Preserve,grsa
Great Smoky Mountains National Park,grsm
Guadalupe Mountains National Park,gumo
Haleakala National Park,hale
Hawaii Volcanoes National Park,havo
Hot Springs National Park,hosp
Indiana Dunes National Park,indu
Isle Royale National Park,isro
Joshua Tree National Park,jotr
Katmai National Park and Preserve,katm
Kenai Fjords National Park,kefj
Kings Canyon National Park,kica
Kobuk Valley National Park,kova
Lake Clark National Park and Preserve,lacl
Lassen Volcanic National Park,lavo
Mammoth Cave National Park,maca
Mesa Verde National Park,meve
Mount Rainier National Park,mora
National Park of American Samoa,npsa
North Cascades National Park,noca
Olympic National Park,olym
Petrified Forest National Park,pefo
Pinnacles National Park,pinn
Redwood National and State Parks,redw
Rocky Mountain National Park,romo
Saguaro National Park,sagu
Sequoia National Park,sequ
Shenandoah National Park,shen
Theodore Roosevelt National Park,thro
Virgin Islands National Park,viis
Voyageurs National Park,voya
White Sands National Park,whsa
Wind Cave National Park,wica
Wrangell-St. Elias National Park and Preserve,wrst
Yellowstone National Park,yell
Yosemite National Park,yose
Zion National Park,zion